age,checking_account_A11,checking_account_A12,checking_account_A13,checking_account_A14,credit_amount,credit_history_A30,credit_history_A31,credit_history_A32,credit_history_A33,credit_history_A34,duration,employment_since_A71,employment_since_A72,employment_since_A73,employment_since_A74,employment_since_A75,existing_credits,foreign_worker_A201,foreign_worker_A202,housing_A151,housing_A152,housing_A153,installment_rate,job_A171,job_A172,job_A173,job_A174,liable_people,other_debtors_A101,other_debtors_A102,other_debtors_A103,other_installment_plans_A141,other_installment_plans_A142,other_installment_plans_A143,property_A121,property_A122,property_A123,property_A124,purpose_A40,purpose_A41,purpose_A410,purpose_A42,purpose_A43,purpose_A44,purpose_A45,purpose_A46,purpose_A48,purpose_A49,residence_since,savings_account_A61,savings_account_A62,savings_account_A63,savings_account_A64,savings_account_A65,telephone_A191,telephone_A192
25,False,True,False,False,2631,False,False,True,False,False,15,False,False,True,False,False,1,True,False,False,True,False,3,False,True,False,False,1,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,2,False,True,False,False,False,True,False
42,True,False,False,False,4153,False,False,True,False,False,18,False,False,True,False,False,1,True,False,False,True,False,2,False,False,True,False,1,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,3,True,False,False,False,False,True,False
50,False,False,False,True,2390,False,False,True,False,False,12,False,False,False,False,True,1,True,False,False,True,False,4,False,False,True,False,1,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,3,False,False,False,False,True,False,True
38,False,False,False,True,2751,False,False,False,False,True,48,False,False,False,False,True,2,True,False,False,True,False,4,False,False,True,False,2,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,3,False,False,False,False,True,False,True
25,True,False,False,False,8065,False,False,False,False,True,36,False,False,True,False,False,2,True,False,False,True,False,3,False,False,False,True,1,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2,True,False,False,False,False,False,True
26,False,True,False,False,1424,False,False,False,False,True,12,False,False,False,True,False,1,True,False,False,True,False,4,False,False,True,False,1,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,3,True,False,False,False,False,True,False
33,False,False,False,True,1474,False,False,True,False,False,24,False,True,False,False,False,1,True,False,False,True,False,4,False,False,True,False,1,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,3,False,True,False,False,False,False,True
24,False,False,False,True,1800,False,False,False,False,True,18,False,False,True,False,False,2,True,False,False,True,False,4,False,False,True,False,1,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,2,True,False,False,False,False,True,False
39,True,False,False,False,3345,False,False,True,False,False,24,False,False,False,False,True,1,True,False,True,False,False,4,False,False,False,True,1,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2,True,False,False,False,False,False,True
28,True,False,False,False,2659,False,False,True,False,False,18,False,False,True,False,False,1,True,False,False,True,False,4,False,False,True,False,1,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,2,False,False,False,True,False,True,False
